index,date,Alabama,Alaska,American Samoa,Arizona,Arkansas,Bureau of Prisons,California,Colorado,Connecticut,Delaware,Dept of Defense,District of Columbia,Federated States of Micronesia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indian Health Svc,Indiana,Iowa,Kansas,Kentucky,Long Term Care,Louisiana,Maine,Marshall Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Republic of Palau,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,United States,Utah,Vermont,Veterans Health,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
23,2021-01-12,78134.0,35838.0,2124.0,141355.0,40879.0,14663.0,816301.0,224428.0,151395.0,26410.0,139439.0,29812.0,424.0,633440.0,170571.0,3791.0,33483.0,35845.0,347005.0,68387.0,191844.0,98691.0,78268.0,132114.0,951774.0,142771.0,54945.0,639.0,146231.0,204082.0,227685.0,162240.0,54544.0,161784.0,42083.0,74439.0,61653.0,50613.0,221045.0,78235.0,579532.0,211610.0,39479.0,3722.0,311890.0,157843.0,104610.0,341948.0,74559.0,416.0,39568.0,81075.0,48698.0,251257.0,911461.0,9327138.0,95225.0,25757.0,226754.0,880.0,190607.0,195567.0,103330.0,137253.0,16467.0
24,2021-01-13,84040.0,38680.0,2577.0,154745.0,94854.0,15694.0,891489.0,239665.0,161875.0,28413.0,139993.0,33049.0,565.0,705398.0,198756.0,3791.0,36605.0,38872.0,365859.0,74462.0,211334.0,112093.0,85650.0,142436.0,1084177.0,156186.0,57248.0,649.0,178056.0,217443.0,291519.0,165355.0,61289.0,161784.0,44063.0,79699.0,61653.0,55218.0,262982.0,81855.0,632473.0,266938.0,40728.0,4141.0,329318.0,172403.0,115075.0,379944.0,84432.0,725.0,42028.0,99887.0,50712.0,264713.0,978042.0,10278462.0,104036.0,29571.0,254377.0,1195.0,217836.0,208238.0,110709.0,137253.0,17794.0
25,2021-01-14,92300.0,42596.0,2971.0,173665.0,108316.0,16118.0,975293.0,254706.0,171897.0,31090.0,179724.0,36679.0,605.0,774485.0,231305.0,3791.0,47985.0,42586.0,403666.0,81726.0,233488.0,112093.0,91565.0,155613.0,1225493.0,175811.0,61129.0,649.0,178056.0,233476.0,327235.0,179684.0,71848.0,175314.0,46620.0,84920.0,76844.0,58711.0,263422.0,89415.0,688576.0,268212.0,42774.0,4598.0,348424.0,187266.0,129796.0,410414.0,94880.0,766.0,44871.0,115855.0,54284.0,264713.0,1043624.0,11148991.0,115384.0,29571.0,284697.0,1424.0,217836.0,225238.0,118660.0,149955.0,19776.0
26,2021-01-15,100567.0,49039.0,3883.0,197086.0,118338.0,16685.0,1072959.0,272233.0,185866.0,31090.0,201485.0,39934.0,694.0,853081.0,231305.0,3791.0,46958.0,46636.0,437765.0,90245.0,260310.0,120983.0,97779.0,174748.0,1384963.0,197967.0,61129.0,658.0,194705.0,257175.0,364182.0,198253.0,84328.0,190447.0,49364.0,91195.0,83674.0,62517.0,317070.0,99305.0,757466.0,302824.0,46410.0,4909.0,375428.0,203410.0,146153.0,448151.0,104137.0,1119.0,47548.0,121836.0,57103.0,303338.0,1160242.0,12279180.0,128210.0,32470.0,317771.0,1631.0,244234.0,242606.0,134207.0,169803.0,22745.0
27,2021-01-16,100567.0,49039.0,3883.0,197086.0,118338.0,16685.0,1072959.0,272233.0,185866.0,31090.0,201485.0,39934.0,694.0,853081.0,231305.0,3791.0,46958.0,46636.0,437765.0,90245.0,260310.0,120983.0,97779.0,174748.0,1384963.0,197967.0,61129.0,658.0,194705.0,257175.0,364182.0,198253.0,84328.0,190447.0,49364.0,91195.0,83674.0,62517.0,317070.0,99305.0,757466.0,302824.0,46410.0,4909.0,375428.0,203410.0,146153.0,448151.0,104137.0,1119.0,47548.0,121836.0,57103.0,303338.0,1160242.0,12279180.0,128210.0,32470.0,317771.0,1631.0,244234.0,242606.0,134207.0,169803.0,22745.0
28,2021-01-17,100567.0,49039.0,3883.0,197086.0,118338.0,16685.0,1072959.0,272233.0,185866.0,31090.0,201485.0,39934.0,694.0,853081.0,231305.0,3791.0,46958.0,46636.0,437765.0,90245.0,260310.0,120983.0,97779.0,174748.0,1384963.0,197967.0,61129.0,658.0,194705.0,257175.0,364182.0,198253.0,84328.0,190447.0,49364.0,91195.0,83674.0,62517.0,317070.0,99305.0,757466.0,302824.0,46410.0,4909.0,375428.0,203410.0,146153.0,448151.0,104137.0,1119.0,47548.0,121836.0,57103.0,303338.0,1160242.0,12279180.0,128210.0,32470.0,317771.0,1631.0,244234.0,242606.0,134207.0,169803.0,22745.0
29,2021-01-18,100567.0,49039.0,3883.0,197086.0,118338.0,16685.0,1072959.0,272233.0,185866.0,31090.0,201485.0,39934.0,694.0,853081.0,231305.0,3791.0,46958.0,46636.0,437765.0,90245.0,260310.0,120983.0,97779.0,174748.0,1384963.0,197967.0,61129.0,658.0,194705.0,257175.0,364182.0,198253.0,84328.0,190447.0,49364.0,91195.0,83674.0,62517.0,317070.0,99305.0,757466.0,302824.0,46410.0,4909.0,375428.0,203410.0,146153.0,448151.0,104137.0,1119.0,47548.0,121836.0,57103.0,303338.0,1160242.0,12279180.0,128210.0,32470.0,317771.0,1631.0,244234.0,242606.0,134207.0,169803.0,22745.0
30,2021-01-19,130795.0,66331.0,4756.0,266276.0,142337.0,17628.0,1460430.0,330292.0,229524.0,42557.0,254778.0,49988.0,1436.0,1174685.0,312336.0,3791.0,63954.0,63975.0,525261.0,104140.0,334686.0,144955.0,118434.0,216039.0,1745441.0,255591.0,73978.0,1282.0,247597.0,318877.0,483592.0,251535.0,113572.0,236254.0,55893.0,103689.0,102840.0,71556.0,400148.0,138150.0,1000319.0,400779.0,56608.0,6372.0,472084.0,242093.0,216928.0,544416.0,129530.0,1914.0,54081.0,187175.0,61113.0,351813.0,1403989.0,15707588.0,163205.0,40581.0,416209.0,2135.0,326894.0,321200.0,152657.0,213498.0,28057.0
31,2021-01-20,139200.0,68293.0,5313.0,281887.0,173312.0,19076.0,1532329.0,340438.0,243140.0,45640.0,256867.0,51733.0,1756.0,1239975.0,397048.0,3791.0,71944.0,69267.0,539926.0,108975.0,356385.0,149850.0,122705.0,223946.0,1908256.0,264400.0,76167.0,1514.0,258146.0,330490.0,508607.0,252548.0,122586.0,244476.0,57220.0,106283.0,107133.0,75418.0,432220.0,143302.0,1046490.0,427480.0,57657.0,6791.0,487481.0,251684.0,216928.0,568660.0,136630.0,1981.0,56617.0,192608.0,62518.0,358534.0,1471746.0,16525281.0,181792.0,40814.0,432569.0,2418.0,343366.0,346765.0,158621.0,222492.0,29309.0
32,2021-01-21,165919.0,71907.0,5664.0,303899.0,173312.0,20838.0,1633875.0,353194.0,264707.0,49369.0,274473.0,55108.0,2087.0,1239975.0,453862.0,3791.0,79414.0,73372.0,570527.0,117297.0,387137.0,158743.0,130434.0,235143.0,2089181.0,279398.0,80502.0,1991.0,271905.0,353117.0,548844.0,259417.0,136691.0,265382.0,60389.0,111841.0,115991.0,80639.0,432220.0,152465.0,1116441.0,473282.0,59245.0,7309.0,487481.0,267434.0,216928.0,605428.0,147795.0,2405.0,59014.0,209631.0,65377.0,375669.0,1544551.0,17546374.0,189578.0,42835.0,527258.0,2744.0,362092.0,373423.0,167548.0,238758.0,29309.0
